S.no.,Event,Date,No. of participants,Details
23,Design Bootcamp,11/10-13/10 2019,40,"Design Bootcamp is to experience Design thinking to develop a creative process where one can build empathy for users or customers, define a problem so that one can know what one’s working towards, ideate to come up with possibilities, prototype and test the best ideas. It revisit steps throughout the process, learning and iterating as one go. "
24,ML/AI Workshop by DSC,12/10-13/10 2019,100,"An event conducted in collaboration with Google by its AI/ML facilitator, to give students a hands-on experience in understanding machine learning models."
25,Innovation Day,15/10 2019,60,"This was an event held in tribute of the birth anniversary of Dr. A P J Abdul Kalam and his vision of innovation in India. In the same spirit it was an exhibit of all the latest innovations done by students and startups in SRM showcased at Fablab. The teams had projects ranging from unmanned aerial vehicle to 3D Printers and everything in between. The Chief Guest of this event was Dr. Sivanandi Rajadurai, Director Research, Sarada Motors Chennai."
26,DSC-X,17/10 2019,80,"DSC X is DSC SRM’s flagship event where proficient speakers are invited to share their expertise in certain fields as well as to conduct activities that indulge the students to pick up new, relevant skills. The speakers were Muthuramakrishnan Viswanathan(Google), Akshay Saini (Uber) and Nikhil Raichur(Google)."
27,Tech Talks - III,19/10 2019,50,"Tech Talks with Dr.Ramesh Kandadai,  he has shared his experience of Unmanned aerial systems and discussed fex topics in depth. And also guided students to practise industrial way of managing project and team for effcient output."
28,POC Funding Screening Session,9-11-2019,80,"A pitchfest for innovators and makers, Students from various disciplines have applied for support to develop POC of their ideas. With the help of expert panel all projects got reviwed and best projects were recommended for further support."
29,Triumph Talks - V,11/1 2020,80,"Triumph Talks with Mr. Chandran Krishnan, angel investor and CEO of The Chennai Angels,  interacted with the students and our incubatees to motivate them and shared the perspective of investors. "
30,SIH Internal Hackathon,19/01-21/01 2020,150,"The SRM SIH Internal Hackathon for both, the software and hardware edition were conducted simultaneously and was open to all students of SRMIST. The aim was to shortlist teams that will be attending the national rounds."
31,Big Data Analytics Workshop with MSPC,1/2 2020,65,A workshop to teach the students the basics of Big Data and how to use it in effective product modelling as well as data analytics.
32,Demo Day of Open Projects,1/2 2020,45,"An exhibition, as well as the judging of all the finalists of the Open Projects taken up by students and startups in SRM, showcased at Fablab."
33,API Development Workshop with DSC SRM,2/2 2020,50,A workshop to teach the students advanced NodeJS concepts and use it to develop API’s hands-on.
34,Showtime - IV,7/2 2020,80,"Showtime hosted for “KREATOR 3D” where they have launched their product ""Kreator A1 3D Printer & Mini CNC"" & shared about their journey of making it and inspired students to follow their passion."
35,Startup Story by SRMKZILLA,8/2 2020,60,"3 eminent startup personalities namely Mr.Balaji S, cofounder of Chai Kings, Mr.Arun P, cofounder of Guvi and Mr Abheek T, Head of engineering at Commutatus, had shared their journey story and interacted with the students on the fundamentals and challenges of their startups."
36,Engaging for Excellence : Embracing Health Innovation,05-03-2020,,"In collabortation with Energica we have hosted ""Engaging for Excellence : Embracing Health Innovation"", Panel members were Mr. Ramesh Somasundaram, Mrs. Devakshi Dhawan, Dr Biju Jacob, Mr. Nikhil Chandwadkar & Mr. Vikram Viswanathan. "
37,MarchBytes with MSPC,14/03-15/03 2020,75,"Workshop on Application Development using Android Studio. Day One- Participants learnt to make with their very own note-taking application. Day Two was in partnership with Neur Industries, workshop on Augmented & Virtual Reality. "
